ContigName	UniqueTotReads	MultiTotReads	totalreadsgoodmapped
2598858-2601929	264	826	1090
c2595355-2593832	206	102	308
c2597106-2595574	115	183	298
c2598562-2597207	1	3	4
c2604454-2602106	220	509	729
c2605922-2604486	68	235	303
c2606381-2605944	10	29	39
c2607314-2606418	64	124	188
c2608249-2607458	85	95	180
c2609546-2608269	118	357	475
c2610356-2609697	30	178	208
c2611458-2610496	1	8	9
c2612430-2611477	2	5	7
c2614109-2612517	0	1	1
c2615274-2614312	3	4	7
c2616246-2615293	3	2	5
c2617928-2616333	108	305	413
c2619247-2618063	18	485	503
c2620369-2619413	74	218	292
c2622143-2620551	52	481	533
c2624124-2622520	41	152	193
c2626110-2624512	0	0	0
c2626386-2626264	0	6	6
c2628158-2626563	27	310	337
c2630269-2628314	63	736	799
c2631106-2630366	12	269	281
c2632432-2631140	148	331	479
c2633881-2632562	167	333	500
c2634683-2633865	35	232	267
c2635627-2634680	79	179	258
c2636747-2635629	153	237	390
