ContigName	UniqueTotReads	MultiTotReads	totalreadsgoodmapped
2598858-2601929	577	2139	2716
c2595355-2593832	462	468	930
c2597106-2595574	327	807	1134
c2598562-2597207	0	2	2
c2604454-2602106	472	1634	2106
c2605922-2604486	385	515	900
c2606381-2605944	33	43	76
c2607314-2606418	297	453	750
c2608249-2607458	316	121	437
c2609546-2608269	161	840	1001
c2610356-2609697	130	260	390
c2611458-2610496	18	29	47
c2612430-2611477	38	46	84
c2614109-2612517	520	482	1002
c2615274-2614312	23	32	55
c2616246-2615293	32	43	75
c2617928-2616333	306	747	1053
c2619247-2618063	32	1204	1236
c2620369-2619413	78	734	812
c2622143-2620551	47	1115	1162
c2624124-2622520	73	294	367
c2626110-2624512	0	3	3
c2626386-2626264	0	6	6
c2628158-2626563	335	704	1039
c2630269-2628314	263	1905	2168
c2631106-2630366	70	622	692
c2632432-2631140	304	1004	1308
c2633881-2632562	360	817	1177
c2634683-2633865	132	479	611
c2635627-2634680	269	485	754
c2636747-2635629	288	519	807
