ContigName	UniqueTotReads	MultiTotReads	totalreadsgoodmapped
2598858-2601929	40	131	171
c2595355-2593832	17	63	80
c2597106-2595574	11	52	63
c2598562-2597207	3	1	4
c2604454-2602106	21	80	101
c2605922-2604486	9	22	31
c2606381-2605944	8	3	11
c2607314-2606418	6	22	28
c2608249-2607458	13	16	29
c2609546-2608269	5	77	82
c2610356-2609697	4	6	10
c2611458-2610496	2	1	3
c2612430-2611477	0	3	3
c2614109-2612517	10	16	26
c2615274-2614312	4	1	5
c2616246-2615293	2	4	6
c2617928-2616333	19	27	46
c2619247-2618063	4	43	47
c2620369-2619413	3	30	33
c2622143-2620551	8	38	46
c2624124-2622520	0	1	1
c2626110-2624512	12	15	27
c2626386-2626264	0	0	0
c2628158-2626563	11	35	46
c2630269-2628314	23	53	76
c2631106-2630366	3	23	26
c2632432-2631140	9	35	44
c2633881-2632562	12	30	42
c2634683-2633865	6	36	42
c2635627-2634680	3	21	24
c2636747-2635629	2	28	30
