,age
5,4.197260273972603
16,0.6958904109589041
16,0.6958904109589041
16,0.6958904109589041
17,2.9808219178082194
17,2.9808219178082194
17,2.9808219178082194
29,0.6794520547945205
32,0.589041095890411
43,0.37534246575342467
43,0.37534246575342467
47,1.641095890410959
47,1.641095890410959
52,2.884931506849315
52,2.884931506849315
53,1.106849315068493
53,1.106849315068493
55,2.9616438356164383
58,4.112328767123287
61,4.2904109589041095
61,4.2904109589041095
61,4.2904109589041095
62,2.282191780821918
62,2.282191780821918
62,2.282191780821918
62,2.282191780821918
66,3.863013698630137
66,3.863013698630137
66,3.863013698630137
66,3.863013698630137
67,0.4794520547945205
67,0.4794520547945205
71,1.9917808219178081
76,0.29041095890410956
78,0.5698630136986301
82,1.9013698630136986
82,1.9013698630136986
89,0.4958904109589041
93,0.2328767123287671
93,0.2328767123287671
106,2.7041095890410958
107,4.528767123287671
107,4.528767123287671
108,5.260273972602739
110,1.0465753424657533
111,4.298630136986302
117,2.6164383561643834
117,2.6164383561643834
117,2.6164383561643834
117,2.6164383561643834
119,4.978082191780822
119,4.978082191780822
123,1.0657534246575342
124,1.295890410958904
124,1.295890410958904
126,0.29315068493150687
126,0.29315068493150687
126,0.29315068493150687
126,0.29315068493150687
127,3.3232876712328765
127,3.3232876712328765
127,3.3232876712328765
132,4.0849315068493155
132,4.0849315068493155
142,3.0027397260273974
142,3.0027397260273974
157,4.583561643835616
158,0.3506849315068493
159,2.7041095890410958
159,2.7041095890410958
161,2.712328767123288
174,1.6383561643835616
175,3.6986301369863015
179,5.438356164383562
179,5.438356164383562
188,3.7753424657534245
188,3.7753424657534245
189,2.0602739726027397
189,2.0602739726027397
190,1.0
191,2.6904109589041094
192,0.3698630136986301
193,0.5753424657534246
193,0.5753424657534246
194,1.8712328767123287
194,1.8712328767123287
196,3.750684931506849
196,3.750684931506849
200,5.465753424657534
200,5.465753424657534
201,2.8958904109589043
201,2.8958904109589043
202,0.8958904109589041
202,0.8958904109589041
202,0.8958904109589041
202,0.8958904109589041
202,0.8958904109589041
229,3.9863013698630136
229,3.9863013698630136
229,3.9863013698630136
231,6.67945205479452
237,1.3726027397260274
240,0.8547945205479452
