	0
186	Bifidobacterium longum
187	Bifidobacterium longum
188	Bifidobacterium longum
189	Bifidobacterium longum subsp. longum
190	Bifidobacterium longum
191	Bifidobacterium longum subsp. longum
192	Bifidobacterium longum subsp. longum
193	Bifidobacterium longum subsp. longum
194	Bifidobacterium longum subsp. longum
195	Bifidobacterium longum subsp. longum
196	Bifidobacterium longum subsp. longum
197	Bifidobacterium longum subsp. longum
198	Bifidobacterium longum
199	Bifidobacterium longum subsp. infantis
200	Bifidobacterium longum subsp. longum
201	Bifidobacterium longum
202	Bifidobacterium longum subsp. longum
203	Bifidobacterium longum subsp. longum
204	Bifidobacterium longum subsp. longum
205	Bifidobacterium longum subsp. longum
206	Bifidobacterium longum subsp. longum
207	Bifidobacterium longum
208	Bifidobacterium longum
209	Bifidobacterium longum subsp. longum
210	Bifidobacterium longum DJO10A
211	Bifidobacterium longum subsp. longum
212	Bifidobacterium longum subsp. longum
213	Bifidobacterium longum subsp. longum
214	Bifidobacterium longum subsp. longum
215	Bifidobacterium longum subsp. longum 72B
216	Bifidobacterium longum subsp. longum CMCC P0001
217	Bifidobacterium longum
218	Bifidobacterium longum subsp. longum
219	Bifidobacterium longum subsp. infantis
220	Bifidobacterium longum
221	NA
222	Bifidobacterium longum
223	Bifidobacterium longum subsp. infantis
224	Bifidobacterium longum
225	Bifidobacterium longum
226	Bifidobacterium longum subsp. infantis CCUG 52486
227	NA
228	Bifidobacterium longum
229	Bifidobacterium longum subsp. infantis
230	Bifidobacterium longum subsp. longum
231	Bifidobacterium longum
232	Bifidobacterium longum
233	Bifidobacterium longum subsp. longum
234	Bifidobacterium longum subsp. longum
235	Bifidobacterium longum
236	Bifidobacterium longum
237	Bifidobacterium longum subsp. longum
238	Bifidobacterium longum
239	NA
240	Bifidobacterium longum
241	Bifidobacterium longum subsp. longum
242	Bifidobacterium longum
243	Bifidobacterium longum subsp. longum
244	Bifidobacterium longum
245	Bifidobacterium longum subsp. infantis
246	Bifidobacterium longum subsp. longum
247	Bifidobacterium longum
248	Bifidobacterium longum subsp. longum
249	Bifidobacterium longum subsp. longum
250	Bifidobacterium longum subsp. longum
251	Bifidobacterium longum
252	Bifidobacterium longum subsp. infantis EK3
253	Bifidobacterium longum
