#SampleID	C0047-7E-1A_taxonomic_profile	C0052-7E-1A_taxonomic_profile	C0053-8E-1A_taxonomic_profile	C0058-4E-1A_taxonomic_profile	C0059-4E-1A_taxonomic_profile	C0106-6E-1A_taxonomic_profile	C0107-4E-1A_taxonomic_profile	C0123-3E-1A_taxonomic_profile	C0126-9E-1A_taxonomic_profile	C0127-7E-1A_taxonomic_profile	C0202-6E-1A_taxonomic_profile	C0237-4E-1A_taxonomic_profile	C0286-6E-1A_taxonomic_profile	C0296-6E-1A_taxonomic_profile	C0332-4E-1A_taxonomic_profile	C0469-2E-1A_taxonomic_profile	C0494-2E-1A_taxonomic_profile	C0623-1E-1A_taxonomic_profile	C0660-1E-1A_taxonomic_profile	C0672-1E-1A_taxonomic_profile	C0673-1E-1A_taxonomic_profile	C0679-1E-1A_taxonomic_profile	C0683-1E-1A_taxonomic_profile	C0686-1E-1A_taxonomic_profile	C0688-1E-1A_taxonomic_profile	C0694-1E-1A_taxonomic_profile	C0724-1E-1A_taxonomic_profile	C0725-1E-1A_taxonomic_profile	C0730-1E-1A_taxonomic_profile	C0735-1E-1A_taxonomic_profile	C0743-1E-1A_taxonomic_profile	C0767-1E-1A_taxonomic_profile	C0768-1E-1A_taxonomic_profile	C0784-1E-1A_taxonomic_profile	C0785-1E-1A_taxonomic_profile	C0788-1E-1A_taxonomic_profile	C0789-1E-1A_taxonomic_profile	C0799-1E-1A_taxonomic_profile	C0811-1E-1A_taxonomic_profile	C0825-1E-1A_taxonomic_profile	C0837-1E-1A_taxonomic_profile	C2002-3E-1A_taxonomic_profile	C2014-2E-1A_taxonomic_profile	C2018-3E-1A_taxonomic_profile	M0644-3E-1A_taxonomic_profile	M0647-2E-1A_taxonomic_profile	M0651-2E-1A_taxonomic_profile	M0652-3E-1A_taxonomic_profile
k__Bacteria	100.0	99.17863	99.99627	99.8878	100.0	99.95344	100.0	100.0	100.0	97.881	100.0	100.0	99.73225	100.0	100.0	99.99522	99.80213	100.0	99.05033	100.0	100.0	99.89068	100.0	100.0	99.99079	100.0	100.0	100.0	100.0	100.0	99.54556	100.0	99.98879	100.0	99.97886	100.0	100.0	100.0	100.0	98.79229	100.0	100.0	99.96823	99.76744	100.0	99.26601	98.34237	100.0
k__Bacteria|p__Acidobacteria	0	0	0	0	0	0	0	0.00844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	0	0	0	0	0	0	0	0.00844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	0	0	0	0	0	0	0	0.00844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	0	0	0	0	0	0	0	0.00844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella	0	0	0	0	0	0	0	0.00844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified	0	0	0	0	0	0	0	0.00844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria	0.43723	5.40226	2.11076	3.38023	5.85117	8.30618	30.94901	3.63617	1.90714	21.34498	13.58817	5.28054	0.48584	3.93625	0.8086	0.8424	15.08428	1.8025	4.98522	8.72628	4.9486	1.73269	2.66596	7.08714	66.05663	4.71077	22.30268	7.96839	16.24511	0.0103	7.37795	85.81296	2.22791	10.27958	2.62183	3.38834	6.64297	70.60465	7.48387	8.7697	6.70086	17.14626	45.41417	18.06718	0.7588	3.221	5.89781	0.85727
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.43723	5.40226	2.11076	3.38023	5.85117	8.30618	30.94901	3.63617	1.90714	21.34498	13.58817	5.28054	0.48584	3.93625	0.8086	0.8424	15.08428	1.8025	4.98522	8.72628	4.9486	1.73269	2.66596	7.08714	66.05663	4.71077	22.30268	7.96839	16.24511	0.0103	7.37795	85.81296	2.22791	10.27958	2.62183	3.38834	6.64297	70.60465	7.48387	8.7697	6.70086	17.14626	45.41417	18.06718	0.7588	3.221	5.89781	0.85727
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0	0	0.19814	0	0	0.00551	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08522	0	0	0	0	0	0	0	0	0	0.0103	0	0	0	0	0	0	0	0	0	0.06361	0	0	0.18963	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0	0	0.19814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08522	0	0	0	0	0	0	0	0	0	0.0103	0	0	0	0	0	0	0	0	0	0	0	0	0.18963	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0	0	0.18486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08522	0	0	0	0	0	0	0	0	0	0.0103	0	0	0	0	0	0	0	0	0	0	0	0	0.18963	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08049	0	0	0	0	0	0	0	0	0	0.0103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
